iter	Logloss
0	0.6729859009
1	0.6580271107
2	0.6445245189
3	0.636866793
4	0.6260951751
5	0.6161943813
6	0.6098379652
7	0.6036575802
8	0.5921372718
9	0.586038547
10	0.5774337722
11	0.5685693394
12	0.5644376768
13	0.5597200312
14	0.555445641
15	0.5513095088
16	0.5479933753
17	0.5449965718
18	0.5375998645
19	0.5357174773
20	0.5340921993
21	0.5307197272
22	0.5248567305
23	0.5230239545
24	0.5205721418
25	0.5178286229
26	0.5137016829
27	0.5114667228
28	0.5099899673
29	0.5077474344
30	0.5040811126
31	0.5015366641
32	0.4995284573
33	0.4969123001
34	0.4957663029
35	0.4946187549
36	0.492127966
37	0.4904873739
38	0.4885265944
39	0.4867650146
40	0.4858741302
41	0.4849011532
42	0.4841098544
43	0.4827412203
44	0.4808912508
45	0.4797568937
46	0.4779088516
47	0.4765518955
48	0.4757129593
49	0.4745841207
50	0.4735709544
51	0.4727878677
52	0.4719114688
53	0.4710770479
54	0.4702984711
55	0.46948446
56	0.4687526709
57	0.4675201412
58	0.4667385442
59	0.4661674305
60	0.4653244311
61	0.4648098297
62	0.4643388358
63	0.4634925482
64	0.4631509791
65	0.4618985496
66	0.4613958099
67	0.4609455701
68	0.4604559451
69	0.4599153812
70	0.4593974188
71	0.4587189464
72	0.4582059929
73	0.4574975182
74	0.4571057746
75	0.4566254618
76	0.4562069706
77	0.4556843053
78	0.4549041771
79	0.4544482948
80	0.4541151818
81	0.4536493503
82	0.4530077847
83	0.4524541625
84	0.4519831233
85	0.4514501183
86	0.4511668956
87	0.4508382847
88	0.4504636514
89	0.4500300909
90	0.4495247742
91	0.4491754457
92	0.4488751613
93	0.4485141757
94	0.4482613947
95	0.4479129726
96	0.4475191125
97	0.4471876392
98	0.4465803267
99	0.4461044807
100	0.4458355011
101	0.4455587596
102	0.4451897215
103	0.4444956914
104	0.444209669
105	0.4438908601
106	0.4435760619
107	0.443143437
108	0.4426865299
109	0.4423065556
110	0.4420559172
111	0.4416914075
112	0.4414889561
113	0.4413071159
114	0.4410602627
115	0.4406799428
116	0.4403413833
117	0.4399912681
118	0.4397614444
119	0.439473484
120	0.4390536515
121	0.4387068821
122	0.4384843326
123	0.4382320052
124	0.4379747821
125	0.4376174541
126	0.4373570691
127	0.4371094214
128	0.4367614705
129	0.4364832905
130	0.436321338
131	0.4354979983
132	0.4352852818
133	0.4349058543
134	0.4346853889
135	0.4344565562
136	0.4340281969
137	0.4335651384
138	0.4333539007
139	0.4331802538
140	0.432974203
141	0.4328127337
142	0.4326314364
143	0.4324058458
144	0.4321828303
145	0.431973149
146	0.4317309205
147	0.4314819915
148	0.4313168224
149	0.4310312423
150	0.4305043453
151	0.4301253234
152	0.4298707902
153	0.4296079145
154	0.4294243311
155	0.4292500145
156	0.4290498469
157	0.4286610336
158	0.4284422063
159	0.4282105774
160	0.4279749659
161	0.4277086474
162	0.4275689151
163	0.4273540326
164	0.4271668101
165	0.427016462
166	0.4267950851
167	0.4266136009
168	0.4263008074
169	0.4260466692
170	0.4256636402
171	0.4254872819
172	0.4253292774
173	0.4251755271
174	0.4250016171
175	0.4247908151
176	0.4245883466
177	0.4244119785
178	0.4242441528
179	0.4240138281
180	0.4238664965
181	0.4236879481
182	0.4234915136
183	0.4232962033
184	0.4230807611
185	0.4228931472
186	0.4226863127
187	0.4225475478
188	0.4222735968
189	0.4220580366
190	0.4217945566
191	0.4216585773
192	0.4215270137
193	0.4213113795
194	0.4211472465
195	0.4209811413
196	0.4208002346
197	0.420620071
198	0.4204558005
199	0.4202670165
200	0.4201831045
201	0.4199457798
202	0.4197465998
203	0.4194905673
204	0.4193325703
205	0.4192165291
206	0.4191342892
207	0.4189061686
208	0.4187185126
209	0.4184675021
210	0.4182583062
211	0.4179429857
212	0.4178160878
213	0.4176802771
214	0.4175057403
215	0.4172609917
216	0.4170983043
217	0.4168321767
218	0.416649498
219	0.4163936995
220	0.4162876137
221	0.4161238072
222	0.4159552377
223	0.4157988489
224	0.4157419312
225	0.4155261722
226	0.4153641265
227	0.4151978082
228	0.4150261734
229	0.4148395217
230	0.414653378
231	0.4143211761
232	0.4141971345
233	0.4140215602
234	0.4138705091
235	0.4137445694
236	0.4135101137
237	0.4133692331
238	0.4131880803
239	0.4129618546
240	0.4128452053
241	0.4127124476
242	0.4125688538
243	0.4124076755
244	0.4123029511
245	0.4121543785
246	0.4120368987
247	0.4118809242
248	0.4116616206
249	0.4115508806
250	0.4109463725
251	0.4107701604
252	0.410618421
253	0.4105208138
254	0.4103502532
255	0.4102166026
256	0.4100124988
257	0.4097571417
258	0.4096338385
259	0.4094923332
260	0.4093283551
261	0.4091968189
262	0.4091143017
263	0.4089739516
264	0.4087720701
265	0.4084724206
266	0.4083356814
267	0.408153587
268	0.4080344713
269	0.4079031939
270	0.4077686374
271	0.4072560898
272	0.4071655372
273	0.4070051141
274	0.4069058697
275	0.4066507675
276	0.4065368065
277	0.4064454501
278	0.4060010891
279	0.4058945244
280	0.4056634392
281	0.4055719138
282	0.4054586148
283	0.4053347516
284	0.4052225998
285	0.4050030106
286	0.4047281233
287	0.4046419827
288	0.4045183491
289	0.4044268107
290	0.4042914708
291	0.4041718698
292	0.4040663758
293	0.4038705772
294	0.4036606703
295	0.4035413172
296	0.4033968554
297	0.403218555
298	0.4030563749
299	0.4028212236
300	0.4026803387
301	0.4025130153
302	0.4023096611
303	0.4020555033
304	0.4018693624
305	0.4016807479
306	0.4014874989
307	0.4012364191
308	0.4010975404
309	0.4009449364
310	0.4008260257
311	0.4006874567
312	0.4005671284
313	0.4004300437
314	0.4002343514
315	0.400103489
316	0.3997874903
317	0.3995840544
318	0.3994604419
319	0.3993000437
320	0.3991397842
321	0.3989845578
322	0.3987954175
323	0.3985732033
324	0.3984570131
325	0.3982907358
326	0.3981030832
327	0.3979343785
328	0.3977528279
329	0.3976330572
330	0.3974864087
331	0.3972914286
332	0.3971309634
333	0.3969745968
334	0.3968648415
335	0.3966954768
336	0.3964509038
337	0.396337619
338	0.3962157549
339	0.3960801961
340	0.395753748
341	0.3956271518
342	0.3955036825
343	0.3952577641
344	0.3950902874
345	0.3949443619
346	0.3947534878
347	0.394634738
348	0.3944093727
349	0.3942353414
350	0.3940475413
351	0.3939090774
352	0.3937397978
353	0.393280258
354	0.3931213681
355	0.3930050121
356	0.3928472767
357	0.3926680437
358	0.3924330131
359	0.3922917918
360	0.3921423033
361	0.3918375804
362	0.3916356384
363	0.3914403951
364	0.3912810532
365	0.3910971857
366	0.3909467428
367	0.3907946637
368	0.3906537208
369	0.3904647702
370	0.390247788
371	0.3897429727
372	0.389582256
373	0.3894534823
374	0.3892848025
375	0.3891312581
376	0.3890242637
377	0.3888358024
378	0.3886685253
379	0.3885229889
380	0.3882265762
381	0.3881183664
382	0.3879667584
383	0.3877912882
384	0.3876148765
385	0.387404376
386	0.3872201987
387	0.3870713027
388	0.3868598191
389	0.3866978472
390	0.3865253436
391	0.3863865299
392	0.3862052116
393	0.3859728042
394	0.3856565602
395	0.3855087706
396	0.3853711795
397	0.3852153674
398	0.3850327873
399	0.3847874318
400	0.3845981454
401	0.384370902
402	0.3841732096
403	0.3840277039
404	0.38386004
405	0.3837255774
406	0.3835955988
407	0.3834301223
408	0.383262261
409	0.3831674781
410	0.3830610044
411	0.3829004112
412	0.3827126247
413	0.3824118326
414	0.3822785615
415	0.3821105807
416	0.3819238794
417	0.3817860022
418	0.3815609011
419	0.3813668924
420	0.3812326651
421	0.3808285394
422	0.3806313926
423	0.3804721248
424	0.3802334106
425	0.3800798831
426	0.3799060953
427	0.3797572443
428	0.3795589495
429	0.3793711374
430	0.3791971394
431	0.3790271367
432	0.3788795842
433	0.3787734677
434	0.3785959329
435	0.3784904505
436	0.3783159066
437	0.3781718577
438	0.3780248329
439	0.3778389731
440	0.3776535682
441	0.3774103743
442	0.3772449235
443	0.3770805466
444	0.376920263
445	0.376738786
